key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
ad=120243515322930650,64.85,64.85,0,5419,5419,0,4681,4681,0,124,124,0,3,3,0,0,0,0,3,3,0,0,0,0,18,18,0,13,13,0,18,18,0,0,0,0,2.29,2.29,0,11.97,11.97,0,0.52,0.52,0,21.62,21.62,0,1.16,1.16,0,17,17,0
ad=120243515552750650,24.37,24.37,0,2717,2717,0,2164,2164,0,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,8,8,0,10,10,0,8,8,0,6.44,6.44,0,8.97,8.97,0,0.14,0.14,0,,,,1.26,1.26,0,16,16,0
ad=120243568907310650,125.01,125.01,0,8446,8446,0,6988,6988,0,314,314,0,3,3,0,0,0,0,3,3,0,0,0,0,15,15,0,11,11,0,15,15,0,0,0,0,3.72,3.72,0,14.8,14.8,0,0.4,0.4,0,41.67,41.67,0,1.21,1.21,0,11,11,0
ad=120243641988540650,7.84,7.84,0,301,301,0,238,238,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1.33,0,26.05,26.05,0,1.96,1.96,0,,,,1.26,1.26,0,6,6,0
ad=120243641988550650,129.49,129.49,0,4346,4346,0,3764,3764,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,1.7,1.7,0,29.8,29.8,0,1.75,1.75,0,,,,1.15,1.15,0,6,6,0
ad=120243641988560650,18.87,18.87,0,862,862,0,722,722,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,2.55,0,21.89,21.89,0,0.86,0.86,0,,,,1.19,1.19,0,6,6,0
ad=120243641988830650,4.72,4.72,0,188,188,0,153,153,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,25.11,25.11,0,2.36,2.36,0,,,,1.23,1.23,0,5,5,0
ad=120243641988930650,76.06,76.06,0,3339,3339,0,2772,2772,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1.83,1.83,0,22.78,22.78,0,1.25,1.25,0,,,,1.2,1.2,0,6,6,0
ad=120243642326610650,17.12,17.12,0,511,511,0,396,396,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,3.13,0,33.5,33.5,0,1.07,1.07,0,,,,1.29,1.29,0,6,6,0
ad=120243642326620650,39.89,39.89,0,845,845,0,673,673,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,2.37,0,47.21,47.21,0,1.99,1.99,0,,,,1.26,1.26,0,6,6,0
ad=120243642326630650,7.76,7.76,0,264,264,0,205,205,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,0,29.39,29.39,0,0.55,0.55,0,,,,1.29,1.29,0,6,6,0
ad=120243642326640650,122.76,122.76,0,5334,5334,0,4255,4255,0,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2.96,2.96,0,23.01,23.01,0,0.78,0.78,0,,,,1.25,1.25,0,6,6,0
